date,industry,waste_type,quantity,location
2023-01-01,Foundry,Foundry Sand,52.4,Coimbatore
2023-02-01,Foundry,Foundry Sand,56.7,Coimbatore
2023-03-01,Foundry,Foundry Sand,59.2,Coimbatore
2023-04-01,Foundry,Foundry Sand,63.5,Coimbatore
2023-05-01,Foundry,Foundry Sand,66.8,Coimbatore
2023-06-01,Foundry,Foundry Sand,71.2,Coimbatore
2023-07-01,Foundry,Foundry Sand,74.1,Coimbatore
2023-08-01,Foundry,Foundry Sand,76.9,Coimbatore
2023-09-01,Foundry,Foundry Sand,79.5,Coimbatore
2023-10-01,Foundry,Foundry Sand,84.4,Coimbatore
2023-11-01,Foundry,Foundry Sand,89.7,Coimbatore
2023-12-01,Foundry,Foundry Sand,93.1,Coimbatore
2024-01-01,Foundry,Foundry Sand,96.4,Coimbatore
2024-02-01,Foundry,Foundry Sand,102.2,Coimbatore
2024-03-01,Foundry,Foundry Sand,108.8,Coimbatore
2024-04-01,Foundry,Foundry Sand,112.5,Coimbatore
2024-05-01,Foundry,Foundry Sand,121.1,Coimbatore
2024-06-01,Foundry,Foundry Sand,126.4,Coimbatore
2024-07-01,Foundry,Foundry Sand,131.6,Coimbatore
2024-08-01,Foundry,Foundry Sand,134.9,Coimbatore
2024-09-01,Foundry,Foundry Sand,145.2,Coimbatore
2024-10-01,Foundry,Foundry Sand,156.8,Coimbatore
2024-11-01,Foundry,Foundry Sand,162.1,Coimbatore
2024-12-01,Foundry,Foundry Sand,170.4,Coimbatore
2025-01-01,Foundry,Foundry Sand,176.5,Coimbatore
2025-02-01,Foundry,Foundry Sand,183.9,Coimbatore
2025-03-01,Foundry,Foundry Sand,188.7,Coimbatore
2025-04-01,Foundry,Foundry Sand,194.3,Coimbatore
2025-05-01,Foundry,Foundry Sand,201.1,Coimbatore
2025-06-01,Foundry,Foundry Sand,206.9,Coimbatore
